Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Lat,Lng,called,Trifecta status,Total Mental Health Care HPSA Designations,Population of Designated HPSAs,Percent of Need Met,Practitioners Needed to Remove HPSA Designation
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-18,2021-08-30,33.3,27.6,39.4,27.6 - 39.4,31.6-34.0,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-01,2021-09-13,29.2,23.2,35.8,23.2 - 35.8,19.9-29.2,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-15,2021-09-27,39.2,32.4,46.3,32.4 - 46.3,35.7-41.7,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.2,39,"Sep 29 - Oct 11, 2021",2021-09-29,2021-10-11,35.9,29.3,42.8,29.3 - 42.8,34.2-38.5,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-01,2021-12-13,31.7,25.7,38.2,25.7 - 38.2,31.2-33.2,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2021-12-29,2022-01-10,36.3,28.5,44.6,28.5 - 44.6,34.7-40.6,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.3,42,"Jan 26 - Feb 7, 2022",2022-01-26,2022-02-07,37.2,30.4,44.4,30.4 - 44.4,33.5-38.2,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,37.8,32.5,43.3,32.5 - 43.3,33.8-38.8,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,32.8,26.8,39.3,26.8 - 39.3,32.8-44.0,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.4,45,"Apr 27 - May 9, 2022",2022-04-27,2022-05-09,38.0,29.4,47.2,29.4 - 47.2,32.0-38.0,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.5,46,"Jun 1 - Jun 13, 2022",2022-06-01,2022-06-13,46.1,39.3,53.0,39.3 - 53.0,34.9-46.1,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,Mississippi,3.5,47,"Jun 29 - Jul 11, 2022",2022-06-29,2022-07-11,43.5,35.4,51.8,35.4 - 51.8,37.1-43.5,32.3546679,-89.3985283,R,Republican trifecta,83,3190018.0,0.3825,198.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,35.2,30.2,40.4,30.2 - 40.4,34.8 - 36.7,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,41.3,35.5,47.3,35.5 - 47.3,36.1 - 48.4,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,35.4,29.6,41.6,29.6 - 41.6,35.0-44.3,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,32.9,28.2,37.9,28.2 - 37.9,29.6-33.1,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,33.7,29.9,37.7,29.9 - 37.7,31.7-34.2,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,29.5,24.4,35.0,24.4 - 35.0,23.0-31.0,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,36.5,31.2,42.1,31.2 - 42.1,35.0-37.9,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,32.9,27.8,38.2,27.8 - 38.2,31.8-34.4,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,35.8,32.4,39.4,32.4 - 39.4,34.1-35.9,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,40.6,35.6,45.8,35.6 - 45.8,38.1-40.6,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,38.7,34.2,43.4,34.2 - 43.4,38.4-42.0,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,37.9,33.1,42.9,33.1 - 42.9,37.2-40.5,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,33.5,30.3,36.8,30.3 - 36.8,33.3-35.6,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,33.1,29.3,37.1,29.3 - 37.1,26.3-33.1,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2,15,"Sep 16 - Sep 28, 2020",2020-09-16,2020-09-28,33.8,30.5,37.4,30.5 - 37.4,33.4-36.2,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2,16,"Sep 30 - Oct 12, 2020",2020-09-30,2020-10-12,36.4,33.1,39.9,33.1 - 39.9,34.4-36.6,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,2,17,"Oct 14 - Oct 26, 2020",2020-10-14,2020-10-26,40.8,36.4,45.4,36.4 - 45.4,39.7-46.3,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-10-28,2020-11-09,40.3,34.0,46.8,34.0 - 46.8,38.9-41.6,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-11,2020-11-23,39.7,34.1,45.4,34.1 - 45.4,32.1-39.7,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,38.9,34.6,43.4,34.6 - 43.4,32.4-39.2,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,40.3,35.9,44.8,35.9 - 44.8,39.8-41.1,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-06,2021-01-18,43.7,37.8,49.8,37.8 - 49.8,42.9-52.3,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-01-20,2021-02-01,39.0,34.4,43.8,34.4 - 43.8,37.7-40.8,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,39.9,36.1,43.9,36.1 - 43.9,38.8-40.6,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,37.8,32.7,43.1,32.7 - 43.1,36.0-38.2,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-03,2021-03-15,37.6,33.3,41.9,33.3 - 41.9,36.1-38.7,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-17,2021-03-29,34.7,29.8,39.8,29.8 - 39.8,32.1-34.7,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-14,2021-04-26,32.7,28.3,37.4,28.3 - 37.4,31.5-33.5,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.1,29,"Apr 28 - May 10, 2021",2021-04-28,2021-05-10,30.9,26.7,35.4,26.7 - 35.4,29.9-31.8,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.1,30,"May 12 - May 24, 2021",2021-05-12,2021-05-24,26.7,22.8,30.8,22.8 - 30.8,23.2-27.1,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,33.6,30.0,37.5,30.0 - 37.5,31.9-36.5,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,31.9,28.0,36.1,28.0 - 36.1,29.9-31.9,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.1,33,"Jun 23 - Jul 5, 2021",2021-06-23,2021-07-05,30.0,25.1,35.2,25.1 - 35.2,28.2-31.2,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.2,34,"Jul 21 - Aug 2, 2021",2021-07-21,2021-08-02,31.1,27.3,35.1,27.3 - 35.1,31.0-34.2,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-04,2021-08-16,32.0,28.1,36.1,28.1 - 36.1,30.4-32.4,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-18,2021-08-30,30.6,27.5,33.8,27.5 - 33.8,29.5-31.5,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-01,2021-09-13,33.7,28.6,39.1,28.6 - 39.1,31.2-33.7,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-15,2021-09-27,39.4,33.8,45.3,33.8 - 45.3,35.7-41.7,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.2,39,"Sep 29 - Oct 11, 2021",2021-09-29,2021-10-11,33.6,28.3,39.2,28.3 - 39.2,32.0-34.1,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-01,2021-12-13,32.8,27.9,38.1,27.9 - 38.1,31.2-33.2,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2021-12-29,2022-01-10,32.7,28.3,37.3,28.3 - 37.3,32.3-34.6,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.3,42,"Jan 26 - Feb 7, 2022",2022-01-26,2022-02-07,31.4,27.9,35.2,27.9 - 35.2,28.6-31.7,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,33.5,29.8,37.4,29.8 - 37.4,30.0-33.7,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,32.2,27.9,36.7,27.9 - 36.7,30.2-32.7,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.4,45,"Apr 27 - May 9, 2022",2022-04-27,2022-05-09,31.7,27.7,35.9,27.7 - 35.9,30.1-31.9,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.5,46,"Jun 1 - Jun 13, 2022",2022-06-01,2022-06-13,31.1,27.0,35.4,27.0 - 35.4,29.9-31.4,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,Missouri,3.5,47,"Jun 29 - Jul 11, 2022",2022-06-29,2022-07-11,30.5,26.4,34.9,26.4 - 34.9,30.4-33.1,37.9642529,-91.8318334,R,Republican trifecta,250,1836532.0,0.0593,140.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,27.3,23.5,31.4,23.5 - 31.4,25.6 - 33.3,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,27.6,20.7,35.4,20.7 - 35.4,26.1 - 30.5,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,29.7,24.4,35.4,24.4 - 35.4,23.8-29.7,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,30.7,25.8,36.0,25.8 - 36.0,29.6-33.1,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,28.6,23.3,34.4,23.3 - 34.4,26.0-31.6,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,30.4,26.3,34.8,26.3 - 34.8,23.0-31.0,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,34.2,29.9,38.8,29.9 - 38.8,32.3-34.9,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,30.9,26.9,35.1,26.9 - 35.1,24.6-31.7,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,30.6,25.9,35.5,25.9 - 35.5,29.2-34.0,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,34.3,30.4,38.3,30.4 - 38.3,30.9-34.8,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,40.2,35.5,45.0,35.5 - 45.0,38.4-42.0,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,36.0,30.3,42.1,30.3 - 42.1,31.8-37.1,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,30.7,26.7,35.1,26.7 - 35.1,24.2-33.2,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,33.1,29.7,36.7,29.7 - 36.7,26.3-33.1,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2,15,"Sep 16 - Sep 28, 2020",2020-09-16,2020-09-28,38.2,33.6,43.1,33.6 - 43.1,36.3-38.4,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2,16,"Sep 30 - Oct 12, 2020",2020-09-30,2020-10-12,32.8,28.5,37.2,28.5 - 37.2,27.8-34.3,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,2,17,"Oct 14 - Oct 26, 2020",2020-10-14,2020-10-26,34.8,30.3,39.5,30.3 - 39.5,28.7-35.4,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-10-28,2020-11-09,39.4,33.9,45.1,33.9 - 45.1,38.9-41.6,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-11,2020-11-23,45.3,39.3,51.4,39.3 - 51.4,44.4-49.7,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,39.4,34.6,44.4,34.6 - 44.4,39.3-41.3,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,40.7,35.0,46.7,35.0 - 46.7,39.8-41.1,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-06,2021-01-18,35.7,31.1,40.6,31.1 - 40.6,33.6-38.4,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-01-20,2021-02-01,35.1,30.6,39.9,30.6 - 39.9,28.8-37.6,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,32.1,26.6,37.9,26.6 - 37.9,29.2-36.4,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,31.1,25.0,37.6,25.0 - 37.6,25.5-35.9,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-03,2021-03-15,30.8,25.7,36.4,25.7 - 36.4,25.9-33.3,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-17,2021-03-29,32.7,27.6,38.1,27.6 - 38.1,32.1-34.7,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-14,2021-04-26,36.1,30.3,42.1,30.3 - 42.1,33.6-42.1,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.1,29,"Apr 28 - May 10, 2021",2021-04-28,2021-05-10,24.1,18.8,30.0,18.8 - 30.0,23.2-27.3,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.1,30,"May 12 - May 24, 2021",2021-05-12,2021-05-24,27.1,20.4,34.7,20.4 - 34.7,23.2-27.1,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,22.1,17.6,27.2,17.6 - 27.2,22.1-26.8,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,26.7,22.1,31.6,22.1 - 31.6,21.0-26.7,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.1,33,"Jun 23 - Jul 5, 2021",2021-06-23,2021-07-05,26.9,21.7,32.6,21.7 - 32.6,26.3-28.1,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.2,34,"Jul 21 - Aug 2, 2021",2021-07-21,2021-08-02,24.2,19.4,29.5,19.4 - 29.5,23.5-27.0,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,Montana,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-04,2021-08-16,32.1,27.0,37.5,27.0 - 37.5,30.4-32.4,46.8796822,-110.3625658,R,Republican trifecta,118,905132.0,0.2509,68.0
