,Group,Subgroup,Value,Time Period Start Date,Time Period Label,Date
1640,By State,Texas,43.4,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1638,By State,South Dakota,29.1,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1637,By State,South Carolina,37.6,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1636,By State,Rhode Island,41.5,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1635,By State,Pennsylvania,39.8,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1634,By State,Oregon,42.0,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1641,By State,Utah,40.9,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1614,By State,Kentucky,43.6,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1613,By State,Kansas,36.5,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1578,National Estimate,United States,41.5,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1592,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",44.8,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1591,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",37.4,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1590,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",44.5,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1589,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",39.8,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1588,By Race/Hispanic ethnicity,Hispanic or Latino,47.1,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1586,By Sex,Male,38.0,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1593,By Education,Less than a high school diploma,49.6,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1585,By Age,80 years and above,22.6,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1583,By Age,60 - 69 years,34.2,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1582,By Age,50 - 59 years,41.3,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1581,By Age,40 - 49 years,41.7,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1580,By Age,30 - 39 years,47.2,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1579,By Age,18 - 29 years,56.9,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1612,By State,Iowa,38.5,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1584,By Age,70 - 79 years,26.8,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1594,By Education,High school diploma or GED,41.1,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1587,By Sex,Female,44.8,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1596,By Education,Bachelor's degree or higher,35.5,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1595,By Education,Some college/Associate's degree,46.4,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1610,By State,Illinois,38.5,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1609,By State,Idaho,40.0,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1608,By State,Hawaii,37.6,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1607,By State,Georgia,44.3,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1606,By State,Florida,40.8,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1605,By State,District of Columbia,43.7,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1604,By State,Delaware,32.8,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1611,By State,Indiana,42.2,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1602,By State,Colorado,41.4,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1601,By State,California,46.1,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1600,By State,Arkansas,40.0,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1599,By State,Arizona,40.8,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1598,By State,Alaska,43.1,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1597,By State,Alabama,43.4,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1603,By State,Connecticut,40.6,01/20/2021,"Jan 20 - Feb 1, 2021",2021-01-20
1699,By State,New York,41.8,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1698,By State,New Mexico,42.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1697,By State,New Jersey,38.8,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1696,By State,New Hampshire,32.6,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1695,By State,Nevada,44.0,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1694,By State,Nebraska,35.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1693,By State,Montana,32.1,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1689,By State,Michigan,39.1,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1691,By State,Mississippi,43.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1690,By State,Minnesota,32.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1688,By State,Massachusetts,39.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1687,By State,Maryland,37.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1686,By State,Maine,38.2,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1685,By State,Louisiana,42.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1692,By State,Missouri,39.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1700,By State,North Carolina,38.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1684,By State,Kentucky,39.0,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1702,By State,Ohio,36.4,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1717,By State,Wyoming,29.2,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1716,By State,Wisconsin,36.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1715,By State,West Virginia,41.8,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1714,By State,Washington,40.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1713,By State,Virginia,38.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1712,By State,Vermont,38.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1711,By State,Utah,40.2,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1710,By State,Texas,39.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1709,By State,Tennessee,40.6,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1708,By State,South Dakota,30.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1707,By State,South Carolina,38.8,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1706,By State,Rhode Island,38.1,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1705,By State,Pennsylvania,35.4,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1704,By State,Oregon,45.1,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1703,By State,Oklahoma,38.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1701,By State,North Dakota,35.5,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1683,By State,Kansas,34.5,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1648,National Estimate,United States,39.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1681,By State,Indiana,37.5,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1662,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",44.1,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1661,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",36.2,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1660,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",41.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1659,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",37.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1658,By Race/Hispanic ethnicity,Hispanic or Latino,43.8,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1656,By Sex,Male,35.5,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1663,By Education,Less than a high school diploma,48.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1655,By Age,80 years and above,23.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1653,By Age,60 - 69 years,32.6,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1652,By Age,50 - 59 years,36.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1651,By Age,40 - 49 years,40.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1650,By Age,30 - 39 years,44.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1649,By Age,18 - 29 years,56.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1682,By State,Iowa,35.5,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1654,By Age,70 - 79 years,24.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1664,By Education,High school diploma or GED,39.0,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1657,By Sex,Female,43.0,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1666,By Education,Bachelor's degree or higher,33.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1680,By State,Illinois,37.5,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1665,By Education,Some college/Associate's degree,43.2,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1679,By State,Idaho,36.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1678,By State,Hawaii,33.6,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1677,By State,Georgia,38.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1675,By State,District of Columbia,38.6,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1674,By State,Delaware,37.5,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1676,By State,Florida,38.9,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1672,By State,Colorado,36.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1671,By State,California,42.1,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1670,By State,Arkansas,43.4,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1669,By State,Arizona,41.7,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1668,By State,Alaska,41.3,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1667,By State,Alabama,40.1,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1673,By State,Connecticut,40.2,02/03/2021,"Feb 3 - Feb 15, 2021",2021-02-03
1768,By State,New Mexico,42.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1763,By State,Montana,31.1,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1767,By State,New Jersey,38.0,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1766,By State,New Hampshire,34.4,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1765,By State,Nevada,46.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1764,By State,Nebraska,25.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1762,By State,Missouri,37.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1755,By State,Louisiana,42.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1760,By State,Minnesota,27.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1759,By State,Michigan,38.3,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1758,By State,Massachusetts,39.7,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1757,By State,Maryland,36.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1756,By State,Maine,36.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1769,By State,New York,38.7,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1761,By State,Mississippi,45.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1770,By State,North Carolina,38.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1787,By State,Wyoming,38.1,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1772,By State,Ohio,38.3,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1754,By State,Kentucky,45.9,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1786,By State,Wisconsin,30.4,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1785,By State,West Virginia,39.1,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1784,By State,Washington,40.1,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1783,By State,Virginia,37.0,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1782,By State,Vermont,37.2,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1781,By State,Utah,36.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1780,By State,Texas,40.9,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1779,By State,Tennessee,43.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1778,By State,South Dakota,31.3,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1777,By State,South Carolina,36.6,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1776,By State,Rhode Island,38.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1775,By State,Pennsylvania,38.3,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1774,By State,Oregon,41.2,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1773,By State,Oklahoma,42.2,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1771,By State,North Dakota,30.1,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1753,By State,Kansas,31.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1744,By State,Delaware,33.7,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1751,By State,Indiana,38.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1732,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",48.6,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1731,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",33.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1730,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",41.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1729,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",37.4,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1728,By Race/Hispanic ethnicity,Hispanic or Latino,42.9,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1727,By Sex,Female,42.0,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1733,By Education,Less than a high school diploma,46.0,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1726,By Sex,Male,35.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1724,By Age,70 - 79 years,24.3,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1723,By Age,60 - 69 years,30.4,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1722,By Age,50 - 59 years,37.2,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1721,By Age,40 - 49 years,39.8,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1720,By Age,30 - 39 years,45.0,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1719,By Age,18 - 29 years,56.1,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1725,By Age,80 years and above,22.4,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1734,By Education,High school diploma or GED,39.7,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1718,National Estimate,United States,38.9,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1736,By Education,Bachelor's degree or higher,32.3,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1750,By State,Illinois,38.2,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1749,By State,Idaho,35.9,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1748,By State,Hawaii,34.6,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1747,By State,Georgia,40.7,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1735,By Education,Some college/Associate's degree,43.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1745,By State,District of Columbia,36.4,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1752,By State,Iowa,34.3,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1746,By State,Florida,38.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1742,By State,Colorado,37.6,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1741,By State,California,41.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1740,By State,Arkansas,39.7,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1739,By State,Arizona,38.9,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1738,By State,Alaska,35.6,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1737,By State,Alabama,36.5,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1743,By State,Connecticut,40.6,02/17/2021,"Feb 17 - Mar 1, 2021",2021-02-17
1839,By State,New York,36.6,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1838,By State,New Mexico,39.8,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1837,By State,New Jersey,36.0,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1836,By State,New Hampshire,35.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1835,By State,Nevada,33.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1834,By State,Nebraska,31.4,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1826,By State,Maine,41.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1832,By State,Missouri,37.6,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1831,By State,Mississippi,37.0,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1830,By State,Minnesota,32.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1829,By State,Michigan,36.6,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1828,By State,Massachusetts,34.2,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1827,By State,Maryland,36.8,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1840,By State,North Carolina,35.8,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1833,By State,Montana,30.8,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1841,By State,North Dakota,26.8,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1849,By State,Tennessee,34.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1843,By State,Oklahoma,37.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1825,By State,Louisiana,41.0,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1857,By State,Wyoming,36.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1856,By State,Wisconsin,31.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1855,By State,West Virginia,43.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1854,By State,Washington,37.3,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1853,By State,Virginia,34.3,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1842,By State,Ohio,41.2,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1852,By State,Vermont,35.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1850,By State,Texas,35.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1848,By State,South Dakota,25.9,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1847,By State,South Carolina,30.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1846,By State,Rhode Island,39.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1845,By State,Pennsylvania,38.9,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1844,By State,Oregon,42.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1851,By State,Utah,32.6,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1824,By State,Kentucky,39.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1823,By State,Kansas,37.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1788,National Estimate,United States,36.9,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1802,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",47.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1801,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",30.0,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1800,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",38.2,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1799,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",35.9,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1798,By Race/Hispanic ethnicity,Hispanic or Latino,39.6,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1796,By Sex,Male,33.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1803,By Education,Less than a high school diploma,42.0,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1795,By Age,80 years and above,23.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1793,By Age,60 - 69 years,28.0,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1792,By Age,50 - 59 years,34.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1791,By Age,40 - 49 years,37.8,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1790,By Age,30 - 39 years,44.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1789,By Age,18 - 29 years,53.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1822,By State,Iowa,33.3,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1794,By Age,70 - 79 years,21.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1804,By Education,High school diploma or GED,37.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1797,By Sex,Female,40.5,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1806,By Education,Bachelor's degree or higher,31.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1805,By Education,Some college/Associate's degree,41.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1820,By State,Illinois,35.4,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1819,By State,Idaho,34.9,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1818,By State,Hawaii,30.6,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1817,By State,Georgia,33.2,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1816,By State,Florida,38.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1815,By State,District of Columbia,38.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1814,By State,Delaware,32.4,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1821,By State,Indiana,32.8,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1812,By State,Colorado,42.3,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1811,By State,California,39.7,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1810,By State,Arkansas,47.2,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1809,By State,Arizona,38.0,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1808,By State,Alaska,35.6,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1807,By State,Alabama,38.1,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1813,By State,Connecticut,33.3,03/03/2021,"Mar 3 - Mar 15, 2021",2021-03-03
1909,By State,New York,36.1,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1908,By State,New Mexico,38.3,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1907,By State,New Jersey,35.0,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1906,By State,New Hampshire,32.4,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1905,By State,Nevada,41.7,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1904,By State,Nebraska,32.2,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1903,By State,Montana,32.7,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1899,By State,Michigan,35.4,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1901,By State,Mississippi,42.6,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1900,By State,Minnesota,30.4,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1898,By State,Massachusetts,30.3,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1897,By State,Maryland,31.1,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1896,By State,Maine,34.8,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1895,By State,Louisiana,37.1,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1902,By State,Missouri,34.7,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1910,By State,North Carolina,32.5,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1894,By State,Kentucky,33.5,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1912,By State,Ohio,33.4,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1927,By State,Wyoming,35.6,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1926,By State,Wisconsin,32.3,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1925,By State,West Virginia,41.0,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1924,By State,Washington,35.6,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1923,By State,Virginia,31.4,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1922,By State,Vermont,32.1,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1921,By State,Utah,31.5,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1920,By State,Texas,35.0,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
1919,By State,Tennessee,36.2,03/17/2021,"Mar 17 - Mar 29, 2021",2021-03-17
